"from","to","weight"
"Category:Risk analysis","Category:Medical statistics",5
"Category:Statistics articles needing expert attention","Category:Economic data",6
"Category:Uncertainty of numbers","Category:Estimation theory",18
"Category:Data collection","Category:Factor analysis",4
"Category:Engineering statistics","Category:Signal processing",49
"Category:Risk analysis","Category:Categorical data",9
"Category:History of statistics","Category:Statistical charts and diagrams",49
"Category:Computational statistics","Category:Resampling (statistics)",11
"Category:Means","Category:Estimation theory",95
"Category:Comparison of assessments","Category:Logic and statistics",4
"Category:Non-parametric Bayesian methods","Category:Exponential family distributions",13
"Category:Statistical tests","Category:Probability",6
"Category:Geostatistics","Category:Statistical randomness",5
"Category:Environmental statistics","Category:Statistical software",2
"Category:Medical statistics","Category:Probability",9
"Category:Survival analysis","Category:Actuarial science",98
"Category:Exploratory data analysis","Category:Statistical theory",41
"Category:Statistics stubs","Category:Probability",7
"Category:Statistical approximations","Category:Probability interpretations",7
"Category:Statistical randomness","Category:Statistics-related lists",6
"Category:Directional statistics","Category:Data mining",1
"Category:Analysis of variance","Category:Statistical data sets",2
"Category:Statistical inference","Category:Least squares",60
"Category:Covariance and correlation","Category:Summary statistics for contingency tables",17
"Category:Theory of probability distributions","Category:Econometrics",135
"Category:Index numbers","Category:Psychometrics",1
"Category:Statistical ratios","Category:Regression with time series structure",14
"Category:Population ecology","Category:Poisson processes",2
"Category:Mathematical finance","Category:Medical statistics",9
"Category:Data analysis","Category:Cohort study methods",1
"Category:Statisticians","Category:Conjugate prior distributions",1
"Category:Regression diagnostics","Category:Summary statistics for contingency tables",1
"Category:Means","Category:Time series analysis",109
"Category:Logic and statistics","Category:Demography",26
"Category:Statistical outliers","Category:Simultaneous equation methods (econometrics)",1
"Category:Ethics and statistics","Category:Data analysis",7
"Category:Latin squares","Category:Statistical inference",45
"Category:Summary statistics","Category:Statistics-related lists",34
"Category:Statistical randomness","Category:Causal inference",10
"Category:Statistical theory","Category:Statistical inference",345
"Category:Data mining","Category:Regression variable selection",4
"Category:Data analysis","Category:Monte Carlo methods",20
"Category:Regression diagnostics","Category:Fields of application of statistics",7
"Category:Multivariate time series analysis","Category:Actuarial science",6
"Category:Exploratory data analysis","Category:Statistical approximations",1
"Category:Markov models","Category:Statistical software",1
"Category:Exploratory data analysis","Category:Variance reduction",2
"Category:Regression analysis","Category:Statistical data types",140
"Category:Distributions with conjugate priors","Category:Information theory",10
"Category:Latin squares","Category:Actuarial science",19
"Category:Statistics-related lists","Category:Statistical principles",17
"Category:Sampling (statistics)","Category:Regression with time series structure",9
"Category:Non-parametric Bayesian methods","Category:Environmental statistics",1
"Category:Regression variable selection","Category:Probability interpretations",2
"Category:Sequential experiments","Category:Meta-analysis",1
"Category:Effect size","Category:Statistical theory",20
"Category:Exploratory data analysis","Category:Pharmaceutical statistics",2
"Category:Statistical randomness","Category:Distributions with conjugate priors",8
"Category:Statistical theory","Category:Sequential methods",9
"Category:Data collection","Category:Regression diagnostics",8
"Category:Engineering statistics","Category:Statistical theorems",2
"Category:Regression with time series structure","Category:Categorical data",9
"Category:Risk analysis","Category:Markov chain Monte Carlo",4
"Category:Statistical methods","Category:Statistical inequalities",1
"Category:Latin squares","Category:Graphical models",8
"Category:Stochastic models","Category:Summary statistics",1
"Category:History of statistics","Category:Scale statistics",6
"Category:Poisson processes","Category:Observational study",3
"Category:Signal processing","Category:Sampling techniques",13
"Category:Medical statistics","Category:Population ecology",21
"Category:Statistical algorithms","Category:Statistical genetics",2
"Category:Statistical approximations","Category:Climate and weather statistics",1
"Category:Continuous distributions","Category:Statistics",83
"Category:Poisson processes","Category:Decision theory",3
"Category:Statistical terminology","Category:Tails of probability distributions",10
"Category:Robust regression","Category:Scale statistics",2
"Category:Statistical algorithms","Category:Survey methodology",1
"Category:Regression analysis","Category:Generalized linear models",158
"Category:Probability distributions with non-finite variance","Category:Survival analysis",103
"Category:Statistical deviation and dispersion","Category:Markov models",2
"Category:Statistical approximations","Category:Point processes",2
"Category:Survival analysis","Category:Point processes",13
"Category:Psychometrics","Category:Non-parametric statistics",163
"Category:Evidence-based medicine","Category:Survey methodology",7
"Category:Statistical data agreements","Category:Survey methodology",5
"Category:Statistics-related lists","Category:Non-uniform random numbers",8
"Category:Statistical terminology","Category:Statistical methods",253
"Category:Statistical classification","Category:Actuarial science",32
"Category:Statistical inference","Category:Graphical models",20
"Category:Means","Category:Loss functions",3
"Category:Econometrics","Category:Model selection",41
"Category:Statistics education","Category:Means",6
"Category:Mathematical finance","Category:Queueing theory",13
"Category:Bayesian statistics","Category:Misuse of statistics",4
"Category:Risk analysis","Category:Bayesian statistics",14
"Category:Probability","Category:Engineering statistics",8
"Category:Time series models","Category:Generalized linear models",6
"Category:Least squares","Category:Bioinformatics",2
"Category:Multivariate time series analysis","Category:Graphical models",2
"Category:Categorical data","Category:Point estimation performance",12
"Category:Biostatistics","Category:Pharmaceutical statistics",4
"Category:Index numbers","Category:Probability theory",1
"Category:Statistical data types","Category:Least squares",14
"Category:Detection theory","Category:Psephology",1
"Category:Data clustering algorithms","Category:Optimal decisions",2
"Category:Exploratory data analysis","Category:Quality control",11
"Category:Logic and statistics","Category:Engineering statistics",34
"Category:Cheminformatics","Category:Statistical outliers",1
"Category:Probability stubs","Category:Multivariate continuous distributions",91
"Category:Bayesian inference","Category:Data clustering algorithms",1
"Category:Social statistics","Category:Pharmaceutical statistics",1
"Category:Missing data","Category:Graphical models",3
"Category:Mathematical finance","Category:Latent variable models",2
"Category:Econometric models","Category:Statistical inference",3
"Category:Sampling (statistics)","Category:Probability",5
"Category:Martingale theory","Category:Statistics stubs",17
"Category:Information theory","Category:Statistics",8
"Category:Logic and statistics","Category:Statistical principles",12
"Category:Operations research","Category:Bayesian inference",18
"Category:Point estimation performance","Category:Environmental statistics",1
"Category:Statistical randomness","Category:Classification algorithms",3
"Category:Stochastic processes","Category:Statistics-related lists",4
"Category:Simultaneous equation methods (econometrics)","Category:Statistical ratios",3
"Category:Estimation theory","Category:Data clustering algorithms",13
"Category:Statistics-related lists","Category:Statistics",24
"Category:Statistical intervals","Category:Robust regression",3
"Category:Detection theory","Category:Regression with time series structure",1
"Category:Statistical mechanics","Category:Time series analysis",24
"Category:Fields of application of statistics","Category:Dimension reduction",6
"Category:Statistical theory","Category:Detection theory",5
"Category:Sequential methods","Category:Regression diagnostics",2
"Category:Statistical mechanics","Category:Regression with time series structure",1
"Category:Exponential family distributions","Category:Statistical principles",7
"Category:Latent variable models","Category:Conjugate prior distributions",10
"Category:Regression diagnostics","Category:Statistical classification",1
"Category:Medical statistics","Category:Statistical inference",101
"Category:Survey methodology","Category:Resampling (statistics)",16
"Category:Statistical outliers","Category:Probability distributions",16
"Category:Generalized linear models","Category:Sequential experiments",1
"Category:Psychometrics","Category:Statistical classification",12
"Category:Bioinformatics","Category:Point estimation performance",2
"Category:Hypothesis testing","Category:Stochastic processes",13
"Category:Statistical methods","Category:Regression analysis",371
"Category:Information theory","Category:Statistical theorems",8
"Category:Statistical charts and diagrams","Category:Scale statistics",40
"Category:Markov models","Category:Multivariate statistics",8
"Category:Statistical data sets","Category:Statistical terminology",5
"Category:Data analysis","Category:Index numbers",1
"Category:Hypothesis testing","Category:Statistics education",1
"Category:Covariance and correlation","Category:Survey methodology",92
"Category:Statistical distance measures","Category:Statistical theory",39
"Category:Multiple comparisons","Category:Multivariate statistics",14
"Category:Bioinformatics","Category:Statistical natural language processing",5
"Category:Classification algorithms","Category:Effect size",1
"Category:Analysis of variance","Category:Statistical outliers",18
"Category:Probability","Category:Psephology",1
"Category:Inter-rater reliability","Category:Statistical terminology",26
"Category:Logic and statistics","Category:Statistical inequalities",1
"Category:Statistical models","Category:Statistical intervals",23
"Category:Medical statistics","Category:Sampling techniques",20
"Category:Summary statistics for contingency tables","Category:Data analysis",68
"Category:Dimension reduction","Category:Statistical intervals",2
"Category:Regression variable selection","Category:Hypothesis testing",13
"Category:Generalized linear models","Category:Summary statistics",34
"Category:Sampling techniques","Category:Engineering statistics",48
"Category:Markov chain Monte Carlo","Category:Sampling techniques",2
"Category:Probability distributions with non-finite variance","Category:Spatial data analysis",1
"Category:Types of probability distributions","Category:Normality tests",14
"Category:Probability","Category:Probability distributions",31
"Category:Effect size","Category:Sequential experiments",1
"Category:Multivariate discrete distributions","Category:Probability stubs",20
"Category:Medical statistics","Category:Survey methodology",49
"Category:Least squares","Category:Statistical software",4
"Category:Statistical distance measures","Category:Environmental statistics",1
"Category:Statistical models","Category:Actuarial science",110
"Category:Probability interpretations","Category:Classification algorithms",2
"Category:Statistics","Category:Sampling (statistics)",25
"Category:Data analysis","Category:Multivariate discrete distributions",6
"Category:Probability distributions","Category:Continuous distributions",20194
"Category:Stochastic models","Category:Econometrics",1
"Category:Random matrices","Category:Poisson processes",28
"Category:Fundamental analysis","Category:Regression analysis",5
"Category:Statistical models","Category:Sampling (statistics)",80
"Category:Sampling (statistics)","Category:Cheminformatics",9
"Category:Probability","Category:Markov processes",6
"Category:Cluster analysis","Category:Probability theory",4
"Category:Statisticians","Category:Epidemiology",4
"Category:Econometrics","Category:Variance reduction",16
"Category:Probability","Category:Poisson processes",5
"Category:Latin squares","Category:Demography",18
"Category:Risk analysis","Category:Theory of probability distributions",19
"Category:Parametric statistics","Category:Validity (statistics)",3
"Category:Decision theory paradoxes","Category:Detection theory",1
"Category:Econometric models","Category:Non-parametric statistics",1
"Category:Multivariate discrete distributions","Category:Covariance and correlation",5
"Category:Demography","Category:Statistical deviation and dispersion",78
"Category:Sequential experiments","Category:Nonparametric regression",3
"Category:Effect size","Category:Statistical forecasting",2
"Category:Statistical inference","Category:Point estimation performance",26
"Category:Bayesian statistics","Category:Missing data",2
"Category:Decision theory","Category:Pharmaceutical statistics",1
"Category:Quality control","Category:Loss functions",3
"Category:Semi-parametric models","Category:Statistics",2
"Category:Statistical charts and diagrams","Category:Summary statistics for contingency tables",19
"Category:Observational study","Category:Computational statistics",8
"Category:Asymptotic statistical theory","Category:Econometrics",21
"Category:Probability theory","Category:Time series analysis",102
"Category:Signal processing","Category:Covariance and correlation",102
"Category:Non-uniform random numbers","Category:Actuarial science",1
"Category:Categorical data","Category:Comparison of assessments",1
"Category:Hypothesis testing","Category:Multiple comparisons",68
"Category:Latin squares","Category:Stochastic processes",9
"Category:Statistical ratios","Category:Discrete distributions",21
"Category:Statistical inequalities","Category:Non-parametric Bayesian methods",4
"Category:Statistical software","Category:Econometrics",32
"Category:Spatial data analysis","Category:Statistical theory",5
"Category:Fields of application of statistics","Category:Geostatistics",26
"Category:Geostatistics","Category:Statistics-related lists",6
"Category:Resampling (statistics)","Category:Comparison of assessments",1
"Category:Epidemiology","Category:Statistical randomness",7
"Category:Nonlinear time series analysis","Category:Data analysis",13
"Category:Dimension reduction","Category:Actuarial science",11
"Category:Sensitivity analysis","Category:Meta-analysis",3
"Category:Statistical data types","Category:Statistics stubs",30
"Category:Discrete distributions","Category:Statistical software",7
"Category:Statistical forecasting","Category:Signal processing",15
"Category:Multivariate continuous distributions","Category:Non-parametric statistics",17
"Category:Hypothesis testing","Category:Statistical randomness",12
"Category:Uncertainty of numbers","Category:Regression analysis",29
"Category:Causal inference","Category:Probability distributions",6
"Category:Statisticians","Category:Analysis of variance",11
"Category:Algebra of random variables","Category:Sensitivity analysis",1
"Category:Decision trees","Category:Factor analysis",1
"Category:Nonlinear time series analysis","Category:Estimation theory",13
"Category:Monte Carlo methods","Category:Resampling (statistics)",6
"Category:Classification algorithms","Category:Causal inference",3
"Category:Probability distributions with non-finite variance","Category:Optimal decisions",1
"Category:Regression analysis","Category:Statistical forecasting",65
"Category:Meta-analysis","Category:Data mining",5
"Category:Index numbers","Category:Clustering criteria",1
"Category:Inter-rater reliability","Category:Effect size",1
"Category:Distributions with conjugate priors","Category:Non-uniform random numbers",8
"Category:Logic and statistics","Category:Statistical tests",96
"Category:Martingale theory","Category:Spatial data analysis",2
"Category:Statistics articles needing expert attention","Category:Statistical theorems",20
"Category:Statistical data types","Category:Stochastic processes",148
"Category:Statistical models","Category:Data collection",43
"Category:Data clustering algorithms","Category:Poisson processes",4
"Category:Cheminformatics","Category:Biostatistics",17
"Category:Population ecology","Category:Population ecology",7
"Category:Meta-analysis","Category:Scale statistics",8
"Category:Random matrices","Category:Data analysis",6
"Category:Statistical distance measures","Category:Time series models",1
"Category:Pharmaceutical statistics","Category:Mathematical finance",1
"Category:Statistics articles needing expert attention","Category:Extreme value data",14
"Category:Theory of probability distributions","Category:Categorical data",87
"Category:Demography","Category:Variance reduction",6
"Category:Summary statistics for contingency tables","Category:Statistical tests",148
"Category:Statistical dependence","Category:Statistical theory",217
"Category:Statistical programming languages","Category:Statistical inference",2
"Category:Statistical theorems","Category:Statistical tests",58
"Category:Markov models","Category:Statistical ratios",3
"Category:Effect size","Category:Non-parametric Bayesian methods",1
"Category:Latent variable models","Category:Statistical data types",5
"Category:Asymptotic statistical theory","Category:Regression diagnostics",2
"Category:Nonlinear time series analysis","Category:Statistical tests",24
"Category:Multivariate time series analysis","Category:Robust regression",1
"Category:Nonparametric regression","Category:Generalized linear models",12
"Category:Sensitivity analysis","Category:Causal inference",3
"Category:Regression variable selection","Category:Causal inference",7
"Category:Parametric statistics","Category:Directional statistics",12
"Category:Statistical theorems","Category:Laymen and statistics",1
"Category:Categorical data","Category:Social statistics",12
"Category:Continuous distributions","Category:Point processes",8
"Category:Engineering statistics","Category:Uncertainty of numbers",1
"Category:Statistical software","Category:Missing data",2
"Category:Statistical principles","Category:Hypothesis testing",6
"Category:Econometrics","Category:Nonparametric regression",45
"Category:Categorical data","Category:Means",74
"Category:Conjugate prior distributions","Category:Probability distributions",1500
"Category:Robust regression","Category:Evidence-based medicine",1
"Category:Sensitivity analysis","Category:Pharmaceutical statistics",1
"Category:Statistical data coding","Category:Social statistics",1
"Category:Sequential methods","Category:Distributions with conjugate priors",3
"Category:Causal inference","Category:Psephology",6
"Category:Statistical dependence","Category:Meta-analysis",23
"Category:Latent variable models","Category:Statistical theory",28
"Category:Information theory","Category:Statistical algorithms",1
"Category:Means","Category:Probability",2
"Category:Psychometrics","Category:Misuse of statistics",3
"Category:Data clustering algorithms","Category:Statistical genetics",1
"Category:Algorithmic inference","Category:Logic and statistics",1
"Category:Analysis of variance","Category:Actuarial science",98
"Category:Psychometrics","Category:Summary statistics",95
"Category:Parametric statistics","Category:Statistical ratios",63
"Category:Data collection","Category:Survival analysis",32
"Category:Probability interpretations","Category:Demography",8
"Category:Sequential methods","Category:Statistical terminology",33
"Category:Dimension reduction","Category:Asymptotic statistical theory",3
"Category:Statistical laws","Category:Point estimation performance",3
"Category:Regression with time series structure","Category:Econometrics",28
"Category:Statistical forecasting","Category:Dimension reduction",2
"Category:Point estimation performance","Category:Survival analysis",8
"Category:Discrete distributions","Category:Bayesian statistics",41
"Category:Computational statistics","Category:Comparison of assessments",1
"Category:Time series analysis","Category:Statistical intervals",42
"Category:Ethics and statistics","Category:Cohort studies",2
"Category:Probability interpretations","Category:Time series models",1
"Category:Extreme value data","Category:Asymptotic statistical theory",2
"Category:Bioinformatics","Category:Mathematical finance",8
"Category:Misuse of statistics","Category:Geostatistics",2
"Category:Statistical forecasting","Category:Summary statistics",29
"Category:Statistical dependence","Category:Factor analysis",11
"Category:Survival analysis","Category:Extreme value data",18
"Category:Continuous distributions","Category:Bioinformatics",12
"Category:Data analysis","Category:Computational statistics",34
"Category:Operations research","Category:Evidence-based medicine",3
"Category:Categorical data","Category:Data analysis",148
"Category:Means","Category:Statistics articles needing expert attention",36
"Category:Statistical principles","Category:Statistical tests",26
"Category:Survival analysis","Category:Survey methodology",72
"Category:Statistical charts and diagrams","Category:Bayesian inference",85
"Category:Conjugate prior distributions","Category:Probability",1
"Category:Graphical models","Category:Econometrics",41
"Category:Model selection","Category:Econometrics",34
"Category:Meta-analysis","Category:Sampling (statistics)",30
"Category:Meta-analysis","Category:Bioinformatics",8
"Category:Cluster analysis","Category:Statistical data sets",1
"Category:Statistical intervals","Category:Statistical data types",12
"Category:Multiple comparisons","Category:Estimation theory",31
"Category:Statistical distance measures","Category:Bayesian inference",5
"Category:Extreme value data","Category:Statistical ratios",1
"Category:Estimation theory","Category:Loss functions",36
"Category:Statistical inequalities","Category:Statistical terminology",27
"Category:Sampling techniques","Category:Probability",3
"Category:Statistical inequalities","Category:Psychometrics",3
"Category:Statistical paradoxes","Category:Regression analysis",5
"Category:Statistical inference","Category:Statistical paradoxes",2
"Category:Statistical charts and diagrams","Category:Mathematical finance",22
"Category:History of statistics","Category:Observational study",9
"Category:Risk analysis","Category:Statistical charts and diagrams",16
"Category:Statistical principles","Category:Statistical terminology",31
"Category:Statistical deviation and dispersion","Category:Risk analysis",2
"Category:Multiple comparisons","Category:Least squares",8
"Category:Normality tests","Category:Psychometrics",38
"Category:Statistical ratios","Category:Distributions with conjugate priors",25
"Category:Robust regression","Category:Psychometrics",7
"Category:Statistical distance measures","Category:Least squares",5
"Category:Missing data","Category:Exponential family distributions",3
"Category:Probability interpretations","Category:Pharmaceutical statistics",1
"Category:Bioinformatics","Category:Uncertainty of numbers",4
"Category:Statistical principles","Category:Regression diagnostics",2
"Category:Regression variable selection","Category:Multiple comparisons",3
"Category:Statistical theory","Category:Statistical algorithms",3
"Category:Statistical inference","Category:Algebra of random variables",4
"Category:Geostatistics","Category:Statistical classification",13
"Category:Asymptotic statistical theory","Category:Generalized linear models",3
"Category:Probability theory","Category:Probability interpretations",33
"Category:Simultaneous equation methods (econometrics)","Category:Classification algorithms",1
"Category:Statistical terminology","Category:Categorical data",308
"Category:Market research statistics","Category:Hypothesis testing",1
"Category:Bayesian statistics","Category:Medical statistics",46
"Category:Asymptotic statistical theory","Category:Statistical theory",57
"Category:Nonlinear time series analysis","Category:Engineering statistics",8
"Category:Means","Category:Statistical data types",27
"Category:Population ecology","Category:Summary statistics for contingency tables",3
"Category:Markov models","Category:Statistical data types",9
"Category:Actuarial science","Category:Demography",93
"Category:Epidemiology","Category:Statistical terminology",195
"Category:Demography","Category:Comparison of assessments",1
"Category:Latin squares","Category:Monte Carlo methods",3
"Category:Bioinformatics","Category:Statistical distance measures",3
"Category:Forensic statistics","Category:Statistical tests",1
"Category:Actuarial science","Category:Normality tests",30
"Category:Bioinformatics","Category:Normality tests",9
"Category:Actuarial science","Category:Cluster analysis",7
"Category:Geostatistics","Category:Distributions with conjugate priors",2
"Category:Statistical genetics","Category:Theory of probability distributions",15
"Category:Summary statistics","Category:Evidence-based medicine",17
"Category:Misuse of statistics","Category:Meta-analysis",2
"Category:Discrete distributions","Category:Distributions with conjugate priors",193
"Category:Stochastic processes","Category:Statistical ratios",27
"Category:Normality tests","Category:Geostatistics",20
"Category:Statistics stubs","Category:Statistical inequalities",3
"Category:Statistics-related lists","Category:Statistical natural language processing",16
"Category:Multiple comparisons","Category:Statistical tests",87
"Category:Statistical classification","Category:Poisson processes",4
"Category:Applications of Bayesian inference","Category:Statistical forecasting",2
"Category:Bayesian inference","Category:F-divergences",2
"Category:Observational study","Category:Meta-analysis",14
"Category:Information theory","Category:Statistical inequalities",5
"Category:Hypothesis testing","Category:Variance reduction",11
"Category:Statistical theory","Category:Statistical theorems",67
"Category:Cluster analysis","Category:Statistical charts and diagrams",18
"Category:Quality control","Category:Optimal decisions",21
"Category:Statistics education","Category:Observational study",3
"Category:Statistical theory","Category:Statistical charts and diagrams",279
"Category:Regression with time series structure","Category:Mathematical finance",2
"Category:Stochastic processes","Category:Fundamental analysis",1
"Category:Statistical distance measures","Category:Bioinformatics",5
"Category:Statistical theory","Category:Markov chain Monte Carlo",5
"Category:Statistical intervals","Category:Decision theory",3
"Category:Non-parametric Bayesian methods","Category:Data mining",3
"Category:Inter-rater reliability","Category:Psephology",1
"Category:Sampling techniques","Category:Graphical models",9
"Category:Algebra of random variables","Category:Statistical classification",1
"Category:Statistical software","Category:Means",4
"Category:Psychometrics","Category:Data mining",14
"Category:Logic and statistics","Category:Data collection",17
"Category:Directional statistics","Category:Statistical distance measures",1
"Category:Data clustering algorithms","Category:Bayesian statistics",7
"Category:Least squares","Category:Econometric models",1
"Category:Poisson processes","Category:Statistical tests",27
"Category:Validity (statistics)","Category:Analysis of variance",2
"Category:Extreme value data","Category:Actuarial science",11
"Category:Statistical paradoxes","Category:Estimation theory",8
"Category:Effect size","Category:Statistics-related lists",2
"Category:Parametric statistics","Category:Multiple comparisons",5
"Category:Random matrices","Category:Actuarial science",7
"Category:Monte Carlo methods","Category:Probability interpretations",3
"Category:Probability distributions with non-finite variance","Category:Generalized linear models",3
"Category:Regression analysis","Category:Bayesian statistics",230
"Category:Statistical data types","Category:Exponential family distributions",41
"Category:Simultaneous equation methods (econometrics)","Category:Covariance and correlation",2
"Category:Statistics stubs","Category:Time series analysis",193
"Category:Validity (statistics)","Category:Logic and statistics",4
"Category:Dimension reduction","Category:Markov processes",1
"Category:Dimension reduction","Category:Continuous distributions",2
"Category:Non-parametric statistics","Category:Data analysis software",1
"Category:Statistical charts and diagrams","Category:Optimal decisions",18
"Category:Statistical laws","Category:Tails of probability distributions",19
"Category:Signal processing","Category:Estimation theory",155
"Category:Point estimation performance","Category:Regression diagnostics",2
"Category:Hypothesis testing","Category:Factor analysis",11
"Category:Design of experiments","Category:Quality control",390
"Category:Analysis of variance","Category:Statistical approximations",2
"Category:Epidemiology","Category:Statistical data types",65
"Category:Actuarial science","Category:Statistical inference",88
"Category:Comparison of assessments","Category:Evidence-based medicine",1
"Category:Statistical models","Category:Non-parametric statistics",237
"Category:Statistical tests","Category:Hypothesis testing",331
"Category:Model selection","Category:Statistics-related lists",4
"Category:Engineering statistics","Category:Biostatistics",34
"Category:Sampling techniques","Category:Statistical forecasting",13
"Category:Nonlinear time series analysis","Category:Statistical theory",23
"Category:Hypothesis testing","Category:Bayesian statistics",85
"Category:Environmental statistics","Category:Social statistics",2
"Category:Sensitivity analysis","Category:Spatial data analysis",1
"Category:Survival analysis","Category:Least squares",30
"Category:Summary statistics for contingency tables","Category:Statistical software",3
"Category:Geostatistics","Category:Statistical methods",27
"Category:Model selection","Category:Cheminformatics",2
"Category:Statistical deviation and dispersion","Category:Analysis of variance",189
"Category:Regression variable selection","Category:Types of probability distributions",3
"Category:Multivariate time series analysis","Category:Algebra of random variables",1
"Category:Statistical charts and diagrams","Category:Inter-rater reliability",18
"Category:Cluster analysis","Category:Regression diagnostics",2
"Category:Exponential family distributions","Category:Categorical data",40
"Category:Ethics and statistics","Category:Forensic statistics",1
"Category:Multivariate statistics","Category:Covariance and correlation",165
"Category:Characterization of probability distributions","Category:Validity (statistics)",3
"Category:Comparison of assessments","Category:Time series analysis",17
"Category:Statistical intervals","Category:Discrete distributions",5
"Category:Survival analysis","Category:Statistical ratios",96
"Category:Summary statistics for contingency tables","Category:Decision theory",3
"Category:Uncertainty of numbers","Category:Hypothesis testing",4
"Category:Statistical software","Category:Operations research",1
"Category:Statistical inequalities","Category:Time series models",3
"Category:Summary statistics","Category:Means",177
"Category:Cohort study methods","Category:Regression analysis",1
"Category:Least squares","Category:Mathematical finance",1
"Category:Algebra of random variables","Category:Covariance and correlation",35
"Category:Statistics stubs","Category:Poisson processes",48
"Category:Actuarial science","Category:Survival analysis",93
"Category:Survey methodology","Category:Statistical data coding",1
"Category:Time series analysis","Category:Asymptotic statistical theory",49
"Category:Continuous distributions","Category:Data mining",5
"Category:Environmental statistics","Category:Statistical methods",12
"Category:Statistical paradoxes","Category:Validity (statistics)",1
"Category:Resampling (statistics)","Category:Robust statistics",8
"Category:Psychometrics","Category:Estimation of densities",14
"Category:Data collection","Category:Data mining",4
"Category:Computational statistics","Category:Econometrics",30
"Category:Statistical intervals","Category:Model selection",8
"Category:Comparison of assessments","Category:Validity (statistics)",2
"Category:Computational statistics","Category:Monte Carlo methods",30
"Category:Summary statistics for contingency tables","Category:Statistical approximations",6
"Category:Statistical algorithms","Category:Missing data",5
"Category:Demography","Category:Psychometrics",49
"Category:Engineering statistics","Category:Cohort studies",1
"Category:Statistics-related lists","Category:Social statistics",14
"Category:Bayesian statistics","Category:Monte Carlo methods",29
"Category:Categorical data","Category:Statistical mechanics",3
"Category:Monte Carlo methods","Category:Statistical forecasting",10
"Category:Econometric models","Category:Statistics articles needing expert attention",2
"Category:Cluster analysis","Category:Statistics",6
"Category:Probability interpretations","Category:Sampling techniques",2
"Category:Statistical data agreements","Category:Psychometrics",2
"Category:Inter-rater reliability","Category:Graphical models",1
"Category:Probability theory","Category:Medical statistics",19
"Category:Hypothesis testing","Category:Environmental statistics",11
"Category:Statistical inequalities","Category:Means",6
"Category:Multivariate time series analysis","Category:Spatial data analysis",1
"Category:Probability interpretations","Category:Bayesian inference",15
"Category:Regression analysis","Category:Multivariate discrete distributions",2
"Category:Graphical models","Category:Types of probability distributions",9
"Category:Computational statistics","Category:Estimation theory",53
"Category:Effect size","Category:Discrete distributions",1
"Category:Covariance and correlation","Category:Characterization of probability distributions",2
"Category:Bayesian inference","Category:Theory of probability distributions",42
"Category:Non-parametric Bayesian methods","Category:Statistical methods",9
"Category:Estimation theory","Category:Statistical principles",29
"Category:Decision theory","Category:Resampling (statistics)",2
"Category:Actuarial science","Category:Nonparametric regression",17
"Category:Optimal decisions","Category:Exploratory data analysis",2
"Category:Actuarial science","Category:Asymptotic statistical theory",19
"Category:Probability","Category:Least squares",6
"Category:Non-parametric statistics","Category:Statistical forecasting",29
"Category:Multivariate continuous distributions","Category:Markov chain Monte Carlo",1
"Category:Least squares","Category:Model selection",10
"Category:Sequential experiments","Category:Statistical tests",7
"Category:Statistical algorithms","Category:Statistics",9
"Category:Graphical models","Category:Statistical algorithms",3
"Category:Generalized linear models","Category:Conjugate prior distributions",5
"Category:Fields of application of statistics","Category:Poisson processes",6
"Category:Information theory","Category:Operations research",1
"Category:Time series models","Category:Probability interpretations",3
"Category:Inter-rater reliability","Category:Biostatistics",7
"Category:Data mining","Category:Stochastic processes",2
"Category:Statistical charts and diagrams","Category:Operations research",34
"Category:Time series analysis","Category:Types of probability distributions",29
"Category:Point estimation performance","Category:Spatial data analysis",1
"Category:Survival analysis","Category:Engineering statistics",94
"Category:Nonparametric regression","Category:Probability interpretations",2
"Category:Continuous distributions","Category:Data analysis software",2
"Category:Risk analysis","Category:Bayesian inference",6
"Category:Statistics-related lists","Category:Nonparametric regression",19
"Category:Bayesian networks","Category:Estimation theory",6
"Category:Classification algorithms","Category:Design of experiments",25
"Category:Types of probability distributions","Category:Statistical inequalities",1
"Category:Normality tests","Category:Data mining",5
"Category:Survival analysis","Category:Hypothesis testing",33
"Category:Exploratory data analysis","Category:Cluster analysis",2
"Category:Regression analysis","Category:Regression variable selection",151
"Category:Quality control","Category:Survival analysis",58
"Category:Estimation theory","Category:Geostatistics",51
"Category:History of statistics","Category:Algebra of random variables",2
"Category:Extreme value data","Category:Psychometrics",2
"Category:Loss functions","Category:Probability theory",4
"Category:Comparison of assessments","Category:Probability distributions",4
"Category:Random matrices","Category:Probability theory",17
"Category:Semi-parametric models","Category:Continuous distributions",1
"Category:Resampling (statistics)","Category:Sampling techniques",6
"Category:Point processes","Category:Biostatistics",4
"Category:Estimation of densities","Category:Data mining",3
"Category:Conjugate prior distributions","Category:Continuous distributions",1131
"Category:Graphical models","Category:Hypothesis testing",8
"Category:History of statistics","Category:Discrete distributions",6
"Category:Cheminformatics","Category:Cheminformatics",2
"Category:Statisticians","Category:Demography",9
"Category:Statistical programming languages","Category:Computational statistics",1
"Category:Markov models","Category:Geostatistics",5
"Category:Markov processes","Category:Time series models",12
"Category:Regression variable selection","Category:Regression diagnostics",7
"Category:Probability","Category:Probability theory",38
"Category:Factor analysis","Category:Data analysis software",2
"Category:Classification algorithms","Category:Probability interpretations",6
