"category","expertneeded","length","name","stub"
"Category:Information, knowledge, and uncertainty",False,2886,"Bonus track",False
"Category:Information, knowledge, and uncertainty",False,2115,"International Federation of Audit Bureaux of Circulations",False
"Category:Data collection",False,48188,"Metre Convention",False
"Category:Fields of application of statistics",False,22949,"Source–sink dynamics",False
"Category:Decision theory",False,672,"Logistello",False
"Category:Statistical data sets",False,6325,"Lai Đại Hàn",False
"Category:Statisticians",False,4216,"Peter McCullagh",False
"Category:Fields of application of statistics",False,1916,"Adaptive partition scheduler",False
"Category:Fields of application of statistics",False,2871,"Michael Ian Shamos",False
"Category:Decision theory",False,13139,"John Maynard Smith",False
"Category:Fields of application of statistics",False,224,"The Day of Six Billion",False
"Category:Statistical software",False,2218,"Epi Map",False
"Category:Statistical theory",False,15104,"Algorithmic information theory",False
"Category:Decision theory",False,2070,"International community",False
"Category:Fields of application of statistics",False,7113,"Gloucestershire County Cricket Club in 2004",False
"Category:Fields of application of statistics",False,2709,"PanoramaMaker",False
"Category:Fields of application of statistics",False,9709,"Gloucestershire County Cricket Club in 2006",False
"Category:Statistics stubs",False,720,"Lusser's law",True
"Category:Statistical data sets",False,24946,"Demographics of Liechtenstein",False
"Category:Data collection",False,4022,"Establishment (Pakistan)",False
"Category:Decision theory",False,3457,"Utility maximization problem",False
"Category:Fields of application of statistics",False,5680,"Turkmenistan national football team all-time record",False
"Category:Logic and statistics",False,777,"Probabilistic proposition",True
"Category:Fields of application of statistics",False,8834,"Software testing controversies",False
"Category:Data analysis",False,7208,"Action model learning",False
"Category:Statistical charts and diagrams",False,3829,"Dot plot (statistics)",False
"Category:Statistical data sets",False,27442,"Demographics of Peru",False
"Category:Statistical data coding",False,40,"ISO 3166-1:FR",False
"Category:Data analysis",False,20118,"Outlier",False
"Category:Fields of application of statistics",False,1286,"International Automotive Task Force",False
"Category:Data collection",False,2430,"Virtual instrumentation",False
"Category:Fields of application of statistics",False,129,".cap",False
"Category:Statistical data sets",False,39961,"Australians",False
"Category:Decision theory",False,3228,"Instituto Brasileiro de Ação Democrática",False
"Category:Stochastic processes",False,2386,"Ergodic sequence",False
"Category:Information, knowledge, and uncertainty",False,60849,"Empire and Communications",False
"Category:Statistical theory",False,2310,"Phase factor",False
"Category:Data analysis",False,3333,"Inverse Mills ratio",False
"Category:Decision theory",False,2837,"Check-raise",False
"Category:Statistical data coding",False,64,"ISO 3166-1:FM",False
"Category:Data analysis",False,1115,"RNPV",False
"Category:Statistical data coding",False,47,"ISO 3166-1:FO",False
"Category:Data collection",False,92383,"Opinion polling for the next Croatian parliamentary election",False
"Category:Statistical data coding",False,41,"ISO 3166-1:FI",False
"Category:Statistical data coding",False,38,"ISO 3166-1:FJ",False
"Category:Statistical data coding",False,50,"ISO 3166-1:FK",False
"Category:Fields of application of statistics",False,14236,"Organic farming and biodiversity",False
"Category:Decision theory",False,32220,"Unintended consequences",False
"Category:Survey methodology",False,10009,"Operating surplus",False
"Category:Information, knowledge, and uncertainty",False,2730,"Time at risk",False
"Category:Fields of application of statistics",False,7626,"United States Assistant Secretary of the Army for Acquisition, Logistics, and Technology",False
"Category:Fields of application of statistics",False,89,".pbm",False
"Category:Statistical theory",False,13691,"Interaction information",False
"Category:Data collection",False,2136,"Gallup's List of Most Widely Admired People of the 20th Century",False
"Category:Information, knowledge, and uncertainty",False,1401,"Foundational Model of Anatomy",False
"Category:Fields of application of statistics",False,21363,"Logistic function",False
"Category:Statisticians",False,2011,"Ernst Behm",False
"Category:Regression analysis",False,2100,"G-prior",False
"Category:Statistical laws",False,6925,"Bradford's law",False
"Category:Stochastic processes",False,492,"Path space",False
"Category:Statistical theory",False,22611,"Propagation of uncertainty",False
"Category:Fields of application of statistics",False,6023,"Minimum viable population",False
"Category:Information, knowledge, and uncertainty",False,16692,"Dublin Core",False
"Category:Statistical models",False,1463,"Markov chain geostatistics",False
"Category:Fields of application of statistics",False,4837,"Gamelearn",False
"Category:Fields of application of statistics",False,5072,"OsiriX",False
"Category:Fields of application of statistics",False,3290,"NCAA Division I Men's Golf Tournament all-time individual records",False
"Category:Fields of application of statistics",False,18452,"Wales national football team results and fixtures",False
"Category:Fields of application of statistics",False,31701,"Laffer curve",False
"Category:Statistical data sets",False,16720,"Geographic profiling",False
"Category:Information, knowledge, and uncertainty",False,10935,"Joint and several liability",False
"Category:Statistical theory",False,42808,"Data compression",False
"Category:Fields of application of statistics",False,4496,"German Centre for Integrative Biodiversity Research (iDiv)",False
"Category:Fields of application of statistics",False,23167,"Birth rate",False
"Category:Rankings",False,29579,"ICC Cricket Hall of Fame",False
"Category:Fields of application of statistics",False,3750,"Population Connection",False
"Category:Statistical data sets",False,10171,"World Competitiveness Yearbook",False
"Category:Stochastic processes",False,50402,"Perron–Frobenius theorem",False
"Category:Statistical theory",False,49881,"Maximum likelihood",False
"Category:Decision theory",False,4030,"Roland Sprague",False
"Category:Statistics stubs",False,1716,"Backus–Gilbert method",True
"Category:Fields of application of statistics",False,5256,"Psychiatric epidemiology",False
"Category:Statistical theory",False,5627,"Conditional entropy",False
"Category:Fields of application of statistics",False,12914,"BAG1",False
"Category:Statistical theory",False,7235,"Multiparty communication complexity",False
"Category:Information, knowledge, and uncertainty",False,772,"Statements on auditing standards",False
"Category:Data collection",False,6911,"IntelCenter",False
"Category:Fields of application of statistics",False,733,"Mining simulator",False
"Category:Information, knowledge, and uncertainty",False,3834,"Basic Formal Ontology",False
"Category:Statistical data sets",False,3853,"Demographics of Samoa",False
"Category:Information, knowledge, and uncertainty",False,8051,"Knowledge Graph",False
"Category:Probability distributions",False,5268,"Nakagami distribution",False
"Category:Decision theory",False,9184,"Neutral powers during World War II",False
"Category:Information, knowledge, and uncertainty",False,12993,"Regator",False
"Category:Fields of application of statistics",False,9236,"Educational evaluation",False
"Category:Probability distributions",False,12519,"Laplace distribution",False
"Category:Statistical data sets",False,37683,"Illegal immigration from Africa to Israel",False
"Category:Statistics stubs",False,934,"Method of support",True
"Category:Statistics stubs",False,2240,"Probability of error",True
"Category:Statistical theory",False,13764,"Chaitin's constant",False
"Category:Statistical data sets",False,1658,"Poverty map",False
"Category:Statistical data coding",False,5422,"Swabia (Bavaria)",False
"Category:Fields of application of statistics",False,7695,"Relaxation (approximation)",False
"Category:Statistical data sets",False,10107,"Demographics of Paraguay",False
"Category:Fields of application of statistics",False,8704,"Les Roberts (epidemiologist)",False
"Category:Fields of application of statistics",False,2692,"John Netten Radcliffe",False
"Category:Stochastic processes",False,4590,"Doob martingale",False
"Category:Statistical data coding",False,2181,"NUTS of Malta",False
"Category:Fields of application of statistics",False,27502,"Ridge detection",False
"Category:Fields of application of statistics",False,57902,"Epidemiology",False
"Category:Information, knowledge, and uncertainty",False,1700,"Marc Chervel",False
"Category:Statistical data sets",False,1406,"West Mallee",False
"Category:Information, knowledge, and uncertainty",False,1995,"Database audit",False
"Category:Decision theory",False,1285,"Public policy degrees",False
"Category:Statistical data sets",False,1507,"4-2-1 phenomenon",False
"Category:Fields of application of statistics",False,8869,"Meadow's law",False
"Category:Design of experiments",False,13727,"Randomized block design",False
"Category:Fields of application of statistics",False,587,"JobShopLean",False
"Category:Fields of application of statistics",False,7026,"Curvelet",False
"Category:Fields of application of statistics",False,4075,"Fixed-pattern noise",False
"Category:Fields of application of statistics",False,6124,"Dilution assay",False
"Category:Statisticians",False,7716,"Dennis Lindley",False
"Category:Statistics",False,253,"K-statistic",True
"Category:Statistical data sets",False,11749,"Huave language",False
"Category:Rankings",False,3684,"Swiss quality label for further education institutions",False
"Category:Statistical data sets",False,6663,"Demographics of Western Sahara",False
"Category:Sampling (statistics)",False,16932,"Sample size determination",False
"Category:Statistics stubs",False,1917,"Hellin's law",True
"Category:Fields of application of statistics",False,2793,"Adaptive simulated annealing",False
"Category:Fields of application of statistics",False,2539,"Polar surface area",False
"Category:Decision theory",False,7841,"Collusion",False
"Category:Statistical software",False,5894,"Tanagra (machine learning)",False
"Category:Information, knowledge, and uncertainty",False,3511,"INPACT International",False
"Category:Statistical data sets",False,2020,"Russian Federal State Statistics Service",False
"Category:Decision theory",False,1042,"Canada's World",False
"Category:Information, knowledge, and uncertainty",False,4533,"Wedding crashing",False
"Category:Stochastic processes",False,7839,"Arithmetic combinatorics",False
"Category:Observational study",False,2219,"Cross-sectional regression",True
"Category:Decision theory",False,1944,"Swisspeace",False
"Category:Statistical software",False,2082,"TableCurve 2D",False
"Category:Probability distributions",False,2148,"Empirical likelihood",False
"Category:Information, knowledge, and uncertainty",False,1700,"Dhyan network management system",False
"Category:Fields of application of statistics",False,5406,"Pontiac fever",False
"Category:Statistical data coding",False,128118,"Sicily",False
"Category:Statistical charts and diagrams",True,9194,"V-optimal histograms",False
"Category:Data collection",False,17694,"La Follette Committee",False
"Category:Fields of application of statistics",False,5164,"HMMER",False
"Category:Statistics stubs",False,3617,"John Hajnal",False
"Category:Statistics stubs",False,2149,"Motosaburo Masuyama",False
"Category:Fields of application of statistics",False,7745,"Semiconductor detector",False
"Category:Decision theory",False,29032,"Self-fulfilling prophecy",False
"Category:Information, knowledge, and uncertainty",False,11726,"Maintenance, repair, and operations",False
"Category:Fields of application of statistics",False,23697,"Simplified molecular-input line-entry system",False
"Category:Statistical data sets",False,732,"Soviet Census",False
"Category:Statistical data types",False,19530,"Hybrid Scorecard",False
"Category:Fields of application of statistics",False,5183,"Colocalization Benchmark Source",False
"Category:Fields of application of statistics",False,9027,"Research in Computational Molecular Biology",False
"Category:Fields of application of statistics",False,2262,"Objective test",False
"Category:Statistical organizations",False,1825,"National Institute of Statistics (Tunisia)",False
"Category:Fields of application of statistics",False,8573,"Seeds of Diversity",False
"Category:Statistics stubs",False,2895,"David Dickey",False
"Category:Statistical theory",False,4712,"Proof of Stein's example",False
"Category:Data collection",False,4788,"Philippe Rondot",False
"Category:Statistical data types",False,9443,"Pandemic severity index",False
"Category:Statistical models",False,19236,"Lotka–Volterra equation",False
"Category:Sampling (statistics)",False,4643,"Statistical benchmarking",False
"Category:Statistical theory",False,14901,"Homomorphic signatures for network coding",False
"Category:Fields of application of statistics",False,12807,"James Jurin",False
"Category:Fields of application of statistics",False,8447,"Process Window Index",False
"Category:Information, knowledge, and uncertainty",False,1379,"Classification of Instructional Programs",False
"Category:Statistical data sets",False,428,"China Crime Information Center",False
"Category:Decision theory",False,2445,"Electoral Compass",False
"Category:Information, knowledge, and uncertainty",False,3344,"Nine money personalities model",False
"Category:Stochastic processes",False,2813,"Artin billiard",False
"Category:Fields of application of statistics",False,3198,"Applicability domain",False
"Category:Fields of application of statistics",False,1489,"Import ratio",False
"Category:Fields of application of statistics",False,84536,"Risk factors for breast cancer",False
"Category:Design of experiments",False,7983,"Yates analysis",False
"Category:Fields of application of statistics",False,783,"Psophometric voltage",False
"Category:Rankings",False,750,"International rankings of Papua New Guinea",False
"Category:Fields of application of statistics",False,10494,"Michio Morishima",False
"Category:Time series analysis",False,4021,"Time-series segmentation",False
"Category:Statistical models",False,4687,"Linear model",False
"Category:Statistical software",False,2464,"MeeMix",False
"Category:Data collection",False,606,"Gonadosomatic Index",False
"Category:Fields of application of statistics",False,10081,"Composite artifact colors",False
"Category:Fields of application of statistics",False,1617,"Super Bit Mapping",False
"Category:Data collection",False,23955,"Gerson Lehrman Group",False
"Category:Information, knowledge, and uncertainty",False,1686,"Fence (finance)",False
"Category:Statistical theory",False,40541,"Kullback–Leibler divergence",False
"Category:Statistical data sets",False,5303,"Demographics of Michoacán",False
"Category:Information, knowledge, and uncertainty",False,3842,"HiLog",False
"Category:Fields of application of statistics",False,1270,"Impulse noise (audio)",False
"Category:Statistical tests",False,3954,"Grubbs' test for outliers",False
"Category:Covariance and correlation",False,4851,"Scaled correlation",False
"Category:Decision theory",False,5185,"Strategic nomination",False
"Category:Fields of application of statistics",False,13173,"Interpolation",False
"Category:Statistical organizations",False,2565,"Poverty thresholds (United States Census Bureau)",False
"Category:Statistical data sets",False,58411,"Demographics of Switzerland",False
"Category:Information, knowledge, and uncertainty",False,41170,"Christian music industry",False
"Category:Multivariate statistics",False,14773,"Multidimensional scaling",False
"Category:Statistical models",False,88133,"Ising model",False
"Category:Statistical theory",False,4589,"Set redundancy compression",False
"Category:Fields of application of statistics",False,1693,"Constant amplitude zero autocorrelation waveform",False
"Category:Stochastic processes",False,2086,"Skorokhod's embedding theorem",False
"Category:Fields of application of statistics",False,2476,"Enrolled actuary",False
"Category:Decision theory",False,71672,"Monty Hall problem",False
"Category:Time series analysis",False,6305,"Time–frequency analysis for music signals",False
"Category:Probability distributions",False,4122,"Cramér's theorem",False
"Category:Fields of application of statistics",False,2345,"Spurious-free dynamic range",False
"Category:Decision theory",False,3689,"Position (poker)",False
"Category:Fields of application of statistics",False,2792,"International Society for Pharmacoepidemiology",False
"Category:Statistical theory",False,5577,"Map communication model",False
"Category:Statistical software",False,2965,"GenStat",False
"Category:Statistical data sets",False,32538,"Health care in Australia",False
"Category:Fields of application of statistics",False,10986,"Scoring functions for docking",False
"Category:Decision theory",False,6884,"Competitive altruism",False
"Category:Information, knowledge, and uncertainty",False,17978,"Control self-assessment",False
"Category:Statistical data sets",False,6431,"SpotCrime.com",False
"Category:Statisticians",False,2070,"Pascual Madoz",False
"Category:Statisticians",False,4679,"Thorvald N. Thiele",False
"Category:Fields of application of statistics",False,17619,"Binomial options pricing model",False
"Category:Statistical data types",False,17291,"Corruption Perceptions Index",False
"Category:Statistical charts and diagrams",False,8022,"Sequence logo",False
"Category:Information, knowledge, and uncertainty",False,7427,"Copyright Clause",False
"Category:Statistical software",False,20211,"Sage (mathematics software)",False
"Category:Fields of application of statistics",False,5237,"Exposing to the right",False
"Category:Time series analysis",False,2539,"Choi–Williams distribution function",False
"Category:Data collection",False,2934,"Background (astronomy)",False
"Category:Information, knowledge, and uncertainty",False,3812,"Semantic advertising",False
"Category:Decision theory",False,2158,"Arkansas Policy Foundation",False
"Category:Statistical theory",False,20634,"Jensen's inequality",False
"Category:Statistical data coding",False,7194,"ISO 3166-2:AL",False
"Category:Statistical data coding",False,56427,"ISO 3166-1",False
"Category:Statistical data coding",False,51917,"ISO 3166-2",False
"Category:Statistical data coding",False,19533,"ISO 3166-3",False
"Category:Decision theory",False,4952,"Chatham House Rule",False
"Category:Fields of application of statistics",False,6410,"Metagenomics: An Alternative Approach to Genomics",False
"Category:Statistical deviation and dispersion",False,23461,"Bioindicator",False
"Category:Probability distributions",False,2769,"U-quadratic distribution",False
"Category:Statisticians",False,1882,"Andrew Samson",False
"Category:Decision theory",False,45713,"Appeasement",False
"Category:Stochastic processes",False,2120,"Kelly's lemma",False
"Category:Fields of application of statistics",False,19831,"Integrated Postsecondary Education Data System",False
"Category:Statistical data sets",False,15812,"Demographics of Turkmenistan",False
"Category:Statisticians",False,2748,"John Shawe-Taylor",False
"Category:Fields of application of statistics",False,5020,"Young Epidemiology Scholars",False
"Category:Statisticians",False,21322,"Jacob Marschak",False
"Category:Fields of application of statistics",False,4418,"Squish (Froglogic)",False
"Category:Statisticians",False,9579,"Jervoise Athelstane Baines",False
"Category:Survey methodology",False,18147,"National accounts",False
"Category:Statisticians",False,34467,"Bill James",False
"Category:Statisticians",False,3859,"Adrian Raftery",False
"Category:Fields of application of statistics",False,3037,"Contact tracing",False
"Category:Summary statistics",False,56,"Tukey median",False
"Category:Fields of application of statistics",False,3801,"Susceptible individual",False
"Category:Decision theory",False,15305,"Administrative divisions of the Maldives",False
"Category:Data analysis",False,8747,"Restricted stock",False
"Category:Fields of application of statistics",False,953,"White box (software engineering)",False
"Category:Decision theory",False,2121,"Melvin Dresher",False
"Category:Fields of application of statistics",False,18243,"Electronic filter",False
"Category:Fields of application of statistics",False,2698,"National Commission for the Observance of World Population Year 1974",False
"Category:Decision theory",False,15415,"Pygmalion effect",False
"Category:Decision theory",False,2904,"Jos Chathukulam",False
"Category:Statistical organizations",False,1978,"Historical Statistics of the United States",False
"Category:Information, knowledge, and uncertainty",False,2421,"German Nuclear Reactor Insurance Association",False
"Category:Statistical awards",False,7386,"Peter Donnelly",False
"Category:Fields of application of statistics",False,3977,"Contingency approach",False
"Category:Information, knowledge, and uncertainty",False,1317,"Future Map",False
"Category:Fields of application of statistics",False,17703,"John Snow (physician)",False
"Category:Statistical data coding",False,13173,"Brittany (administrative region)",False
"Category:Statistical ratios",False,6150,"Standard score",False
"Category:Fields of application of statistics",False,4084,"Population of the Byzantine Empire",False
"Category:Fields of application of statistics",False,130005,"Biodiversity",False
"Category:Fields of application of statistics",False,2496,"Sterling ratio",False
"Category:Statistical data sets",False,51690,"Modern immigration to the United Kingdom",False
"Category:Fields of application of statistics",False,5101,"Cytoplasmic transfer",False
"Category:Statistics stubs",False,918,"Dominating decision rule",True
"Category:Stochastic processes",False,1441,"Fleming–Viot process",False
"Category:Decision theory",False,25325,"Virginity auction",False
"Category:Fields of application of statistics",False,1943,"Resel",False
"Category:Fields of application of statistics",False,23513,"Morphometrics",False
"Category:Statistical data sets",False,11402,"Sri Lankan IDP numbers, October 2009 to January 2010",False
"Category:Information, knowledge, and uncertainty",False,1864,"Risk Management Authority",False
"Category:Statistics stubs",False,3133,"Triangular function",True
"Category:Statistical data coding",False,1810,"Northwestern Switzerland",False
"Category:Fields of application of statistics",False,9771,"Automated species identification",False
"Category:Stochastic processes",False,8371,"Stochastic modelling (insurance)",False
"Category:Statistics books",False,1299,"International Encyclopedia of Statistical Science",False
"Category:Statistical theory",False,11050,"Bonferroni correction",False
"Category:Decision theory",False,7994,"David Gale",False
"Category:Fields of application of statistics",False,404,"Journal of Ethnic and Migration Studies",False
"Category:Fields of application of statistics",False,659,"Monoculturalism",False
"Category:Fields of application of statistics",False,10130,"Approaches of management",False
"Category:Fields of application of statistics",False,496,"NMock",False
"Category:Fields of application of statistics",False,12967,"Effective dose (radiation)",False
"Category:Fields of application of statistics",False,1189,"CASA ratio",False
"Category:Statistical data sets",False,5924,"Micropolitan Statistical Area",False
"Category:Decision theory",False,10014,"Convivència",False
"Category:Fields of application of statistics",False,1165,"Network Description Language",False
"Category:Decision theory",False,19799,"Justice (economics)",False
"Category:Information, knowledge, and uncertainty",True,2894,"Mean squared prediction error",False
"Category:Data analysis",False,25339,"ORCA (computer system)",False
"Category:Information, knowledge, and uncertainty",False,1055,"Sigma knowledge engineering environment",False
"Category:Data analysis",False,26771,"AdaBoost",False
"Category:Decision theory",False,7209,"Slow play",False
"Category:Statistical organizations",False,6672,"Federal Statistical System of the United States",False
"Category:Rankings",False,12371,"International rankings of Russia",False
"Category:Fields of application of statistics",False,1678,"Systems immunology",False
"Category:Fields of application of statistics",False,5105,"Sub-band coding",False
"Category:Decision theory",False,1281,"Surplus procedure",False
"Category:Decision theory",False,9508,"Abstention",False
"Category:Fields of application of statistics",False,4982,"Arkadi Nemirovski",False
"Category:Decision theory",False,3605,"Col (game)",False
"Category:Statistical theory",False,5818,"Standard array",False
"Category:Statistical data coding",False,2185,"ISO 3166-2:EE",False
"Category:Statistical data coding",False,4761,"ISO 3166-2:EG",False
"Category:Stochastic processes",True,7063,"Hierarchical Dirichlet process",False
"Category:Information, knowledge, and uncertainty",False,7995,"Operational risk management",False
"Category:Statistical data coding",False,21239,"Brandenburg",False
"Category:Statistical theory",False,1984,"Channel-state duality",False
"Category:Fields of application of statistics",False,4726,"Constant false alarm rate",False
"Category:Statistical data coding",False,3621,"ISO 3166-2:ER",False
"Category:Statistical data coding",False,13336,"ISO 3166-2:ES",False
"Category:Statistical data coding",False,3291,"ISO 3166-2:ET",False
"Category:Decision theory",False,1999,"Domestic analogy",False
"Category:Probability distributions",False,10433,"Logistic distribution",False
"Category:Statistical data sets",False,41351,"Return of Owners of Land, 1873",False
"Category:Fields of application of statistics",False,4783,"Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis",False
"Category:Statistics stubs",False,6317,"Medical statistics",True
"Category:Information, knowledge, and uncertainty",False,3553,"Artvest Partners",False
"Category:Statistical theory",False,26532,"Bias of an estimator",False
"Category:Fields of application of statistics",False,25430,"Financial modeling",False
"Category:Statistical data types",False,2009,"Physical Quality of Life Index",False
"Category:Decision theory",False,5136,"City Protocol",False
"Category:Information, knowledge, and uncertainty",False,2980,"The Culture of Connectivity",False
"Category:Information, knowledge, and uncertainty",False,12587,"Convera Corporation",False
"Category:Fields of application of statistics",False,21217,"Michael Shepherd (psychiatrist)",False
"Category:Fields of application of statistics",False,6916,"Disease diffusion mapping",False
"Category:Data collection",False,9038,"William Wilson Quinn",False
"Category:Fields of application of statistics",False,4865,"European Working Group on Multiple Criteria Decision Aiding",False
"Category:Fields of application of statistics",False,13964,"Preference ranking organization method for enrichment evaluation",False
"Category:Information, knowledge, and uncertainty",False,10032,"Proposed directive on criminal measures aimed at ensuring the enforcement of intellectual property rights",False
"Category:Fields of application of statistics",False,2189,"Emigration from Moldova",False
"Category:Fields of application of statistics",False,786,"Commuter worker",False
"Category:Fields of application of statistics",False,2046,"Nuffield Tools and Gauges",False
"Category:Decision theory",False,7473,"Domineering",False
"Category:Statisticians",False,3731,"Susan Murphy",False
"Category:Fields of application of statistics",False,5437,"RTI-121",False
"Category:Fields of application of statistics",False,2732,"Bangladeshi cricket team records",False
"Category:Fields of application of statistics",False,7372,"Dantzig–Wolfe decomposition",False
"Category:Fields of application of statistics",False,962,"Basis pursuit",False
"Category:Fields of application of statistics",False,11533,"Heirloom plant",False
"Category:Information, knowledge, and uncertainty",False,2481,"Ontology modularization",False
"Category:Information, knowledge, and uncertainty",False,12367,"Matrix chain multiplication",False
"Category:Fields of application of statistics",False,4248,"Triple correlation",False
"Category:Information, knowledge, and uncertainty",False,2347,"GlobalPOV",False
"Category:Fields of application of statistics",False,1030,"Gross reproduction rate",True
"Category:Information, knowledge, and uncertainty",False,3037,"Midem",False
"Category:Statistical data sets",False,16226,"Programa Nacional de Población",False
"Category:Fields of application of statistics",False,5266,"Ogbomosho Sons and Daughters in North America",False
"Category:Statistical theory",False,7184,"Polynomial code",False
"Category:Data collection",False,2973,"RSS tracking",False
"Category:Survey methodology",False,3323,"Chained volume series",False
"Category:Fields of application of statistics",False,6421,"Unique Population Registry Code",False
"Category:Decision theory",False,5299,"Overseas Vote Foundation",False
"Category:Statisticians",False,8333,"Dudley Ryder, 2nd Earl of Harrowby",False
"Category:Statistical inference",False,5249,"Exact statistics",False
"Category:Decision theory",False,14263,"Zero-sum game",False
"Category:Regression analysis",False,3768,"Multinomial probit",False
"Category:Data collection",False,8882,"Army Foreign Intelligence Assistance Program",False
"Category:Data collection",False,6975,"Planet Hunters",False
"Category:Fields of application of statistics",False,4177,"Panmixia",False
"Category:Fields of application of statistics",False,15644,"International Chemical Identifier",False
"Category:Statistical data types",False,1348,"Climate Change Performance Index",False
"Category:Statisticians",False,5755,"D. J. Finney",False
"Category:Decision theory",False,3347,"Writ of election",False
"Category:Fields of application of statistics",False,2119,"Migrant Resource Centre",False
"Category:Fields of application of statistics",False,3033,"Endemic (epidemiology)",False
"Category:Statistical models",False,4159,"Forward algorithm",False
"Category:Statistical data sets",False,2769,"LISS panel",False
"Category:Statisticians",False,10595,"Alfred J. Lotka",False
"Category:Time series analysis",False,2371,"Berlin procedure",False
"Category:Fields of application of statistics",False,7291,"Goal programming",False
"Category:Statistics stubs",True,2807,"Quasi-maximum likelihood",True
"Category:Statistical data coding",False,13667,"Central Bohemian Region",False
"Category:Decision theory",False,10759,"Executive information system",False
"Category:Fields of application of statistics",False,383,"Sensitivity time control",False
"Category:Design of experiments",False,2242,"Vaccine trial",False
"Category:Fields of application of statistics",False,31146,"SURF",False
"Category:Stochastic processes",False,3054,"Wim Cohen",False
"Category:Information, knowledge, and uncertainty",False,21687,"Taxonomy (biology)",False
"Category:Data collection",False,6383,"Phases of Venus",False
"Category:Fields of application of statistics",False,10760,"Kynurenine pathway",False
"Category:Information, knowledge, and uncertainty",False,14679,"Betrayal",False
"Category:Data collection",False,3038,"Black (code)",False
"Category:Information, knowledge, and uncertainty",False,6521,"Originality",False
"Category:Decision theory",False,12413,"MacIver Institute",False
"Category:Information, knowledge, and uncertainty",False,14407,"The Market for Lemons",False
"Category:Fields of application of statistics",False,13063,"Defaunation",False
"Category:Decision theory",False,11392,"Enemy",False
"Category:Information, knowledge, and uncertainty",False,3707,"Theory of indispensable attributes",False
"Category:Survey methodology",False,62041,"Gross domestic product",False
"Category:Design of experiments",False,4872,"N of 1 trial",False
"Category:Fields of application of statistics",False,11494,"Refinable function",False
"Category:Information, knowledge, and uncertainty",False,20002,"Diversification (finance)",False
"Category:Information, knowledge, and uncertainty",False,4044,"Pebble motion problems",False
"Category:Statistical data types",False,6965,"U.S. Producer Price Index",False
"Category:Statistical data types",False,20111,"Quality of life",False
"Category:Bayesian statistics",False,4401,"Hyperprior",False
"Category:Fields of application of statistics",False,6101,"Institute for Creative Technologies",False
"Category:Information, knowledge, and uncertainty",False,30861,"Format war",False
"Category:Decision theory",False,18654,"Evidence-based design",False
"Category:Fields of application of statistics",False,15155,"DrugBank",False
"Category:Fields of application of statistics",False,11695,"Joint Committee on Standards for Educational Evaluation",False
"Category:Fields of application of statistics",False,20604,"Extensible Metadata Platform",False
"Category:Information, knowledge, and uncertainty",False,10248,"Superficial charm",False
"Category:Fields of application of statistics",False,8889,"Y. Claire Wang",False
"Category:Decision theory",False,3145,"Focal point (game theory)",False
"Category:Fields of application of statistics",False,6259,"Football records in the Czech Republic",False
"Category:Statistical theory",False,4457,"Chain rule for Kolmogorov complexity",False
"Category:Fields of application of statistics",False,2898,"National Alliance for Optional Parenthood",False
"Category:Statistical data sets",False,10460,"Tunisian diaspora",False
"Category:Information, knowledge, and uncertainty",False,6670,"4-Chloro-o-toluidine",False
"Category:Statistical ratios",False,3028,"Fano factor",False
"Category:Statistical organizations",False,1396,"Monthly Labor Review",False
"Category:Information, knowledge, and uncertainty",False,3558,"Limited Liability Act 1855",False
"Category:Fields of application of statistics",False,15966,"Corneal topography",False
"Category:Statistical data sets",False,14384,"Demographics of Namibia",False
"Category:Information, knowledge, and uncertainty",False,1589,"Meta Content Framework",False
"Category:Decision theory",False,6027,"Free rider problem",False
"Category:Stochastic processes",False,3547,"Uniformization (probability theory)",False
"Category:Probability distributions",False,2390,"Pareto interpolation",False
"Category:Rankings",False,784,"International rankings of Uzbekistan",False
"Category:Statistical data types",False,13427,"100-year flood",False
"Category:Information, knowledge, and uncertainty",False,4632,"Travel insurance",False
"Category:Fields of application of statistics",False,28521,"Frederick Jelinek",False
"Category:Statistical software",False,6027,"IDV Solutions",False
"Category:Information, knowledge, and uncertainty",False,16731,"Health crisis",False
"Category:Fields of application of statistics",False,946,"SARON",False
"Category:Statistical data sets",False,7991,"Demographics of Rwanda",False
"Category:Decision theory",False,1781,"French auction",False
"Category:Fields of application of statistics",False,432,"Poisson image editing",False
"Category:Information, knowledge, and uncertainty",False,6577,"HL7 Services Aware Interoperability Framework",False
"Category:Decision theory",False,12926,"Ping-pong diplomacy",False
"Category:Decision theory",False,21055,"Tarrasch rule",False
"Category:Information, knowledge, and uncertainty",False,3148,"Knightian uncertainty",False
"Category:Fields of application of statistics",False,10540,"Adobe Shockwave",False
"Category:Statisticians",False,3470,"Pete Palmer",False
"Category:Rankings",False,7995,"International rankings of Vietnam",False
"Category:Survey methodology",False,1131,"Journal of Official Statistics",False
"Category:Statistics stubs",False,2530,"Ethel M. Elderton",False
"Category:Fields of application of statistics",False,8133,"DISC assessment",False
"Category:Statistical theory",False,1159,"Berkson error model",True
"Category:Data collection",False,1839,"National Security Agency (Montenegro)",False
"Category:Fields of application of statistics",False,4397,"Twixter",False
"Category:Statistical software",False,1992,"Mallet (software project)",False
"Category:Statistical theory",False,3226,"Bar product",False
"Category:Decision theory",False,165820,"Cold War",False
"Category:Decision theory",False,1565,"Note verbale",False
