,expertneeded,name,stub,length
792,False,Markov renewal process,False,3975
793,False,Statistical benchmarking,False,4643
794,False,Craps principle,False,3920
795,False,Randomization,False,4922
796,False,Normalization (statistics),True,5019
797,False,Shannon–Hartley theorem,False,18610
798,False,Deviation (statistics),True,3102
799,False,Engineering statistics,False,5649
800,False,Yates analysis,False,7983
801,False,Markov chain Monte Carlo,False,13890
802,False,Kernel regression,False,6901
803,False,Linear model,False,4687
804,True,Vuong's closeness test,False,3409
805,False,Sample space,False,7491
806,False,Taguchi methods,False,25193
807,False,Spatial distribution,True,1485
808,False,Lukacs's proportion-sum independence theorem,False,2062
809,False,Collectively exhaustive events,False,3812
810,False,"ViSta, The Visual Statistics system",False,1860
811,False,Mean squared error,False,17227
812,False,Mixed-design analysis of variance,False,10998
813,False,Autoregressive conditional duration,False,1413
814,False,Founders of statistics,False,27676
815,False,Business statistics,True,1988
816,False,Variogram,False,9829
817,False,Overdispersion,False,7607
818,False,Data set,False,5406
819,False,K-means clustering,False,39909
820,False,Cramér's theorem,False,4122
821,False,LaplacesDemon,False,4779
822,False,Multidimensional scaling,False,14773
823,False,Dominating decision rule,True,918
824,False,GenStat,False,2965
825,False,Leverage (statistics),False,3084
826,False,Continuous-time stochastic process,False,1501
827,False,Seismic to simulation,False,12933
828,False,Cyclostationary process,False,5306
829,False,Zero–one law,False,780
830,False,Studentized range,False,6270
831,False,Shrinkage (statistics),True,1592
832,False,Continuous stochastic process,False,6155
833,True,Independent component analysis,False,35056
834,False,Ecological fallacy,False,16375
835,False,Truncated normal distribution,False,10158
836,False,Spatial variability,False,987
837,False,Statistical significance,False,18227
838,False,F-test,False,18107
839,False,Ordered logit,False,4760
840,False,U-quadratic distribution,False,2769
841,False,Scheffé's method,False,4213
842,False,Sliced inverse regression,False,13490
843,False,Latin square,False,22024
844,False,Standard probability space,False,28711
845,False,Poisson regression,False,11438
846,False,Classification rule,False,11023
847,False,Conjugate prior,False,32056
848,False,Truncated distribution,False,8190
849,False,Subindependence,False,2459
850,False,National accounts,False,18147
851,False,Kolmogorov's criterion,False,2092
852,False,Sequential probability ratio test,False,10297
853,False,NCSS (statistical software),False,1615
854,False,Intraclass correlation,False,17271
855,False,Regenerative process,False,3577
856,False,Lusser's law,True,720
857,False,Beta prime distribution,False,6823
858,False,Epidata,False,2884
859,False,Bootstrapping populations,False,10283
860,False,Cox process,True,1472
861,False,Regret (decision theory),False,7664
862,False,Polynomial regression,False,13406
863,False,CUSUM,False,5898
864,False,Hannan–Quinn information criterion,False,2185
865,False,Graph cuts in computer vision,False,12649
866,False,Dilution assay,False,6124
867,False,Shrinkage estimator,False,5157
868,False,Cross-sectional regression,True,2219
869,False,Event study,False,9255
870,False,SPC XL,False,1343
871,False,Standard score,False,6150
872,False,Common cause and special cause (statistics),False,19227
873,False,Influence diagram,False,12318
874,False,Chow test,False,3901
875,False,Centerpoint (geometry),False,4213
876,False,McKay's approximation for the coefficient of variation,False,3310
877,False,Fleming–Viot process,False,1441
878,False,Doubly stochastic model,False,2235
879,False,Uniformly most powerful test,False,5776
880,False,Conway–Maxwell–Poisson distribution,False,10836
881,False,Jaccard index,False,12549
882,False,Quadratic classifier,False,5333
883,False,Stochastic modelling (insurance),False,8371
884,False,Polykay,True,778
885,False,Forward measure,False,3770
886,False,Astrostatistics,True,1315
887,False,Survey sampling,False,11554
888,True,Mean squared prediction error,False,2894
889,False,Empirical likelihood,False,2148
890,False,Hypoexponential distribution,False,8714
891,False,Inverse-chi-squared distribution,False,5057
892,False,Elastic map,False,12474
893,False,Augmented Dickey–Fuller test,False,7131
894,False,Khmaladze transformation,False,7413
895,False,Density estimation,False,9759
896,False,RV coefficient,False,4261
897,False,Central moment,False,5889
898,False,Lehmann–Scheffé theorem,True,2046
899,False,Sampling risk,False,5526
900,False,Beverton–Holt model,False,3769
901,False,Ljung–Box test,False,4680
902,False,Reliability engineering,False,72273
903,False,Function approximation,True,1967
904,False,Medical statistics,True,6317
905,False,Detrended fluctuation analysis,False,11005
906,False,Multiple Indicator Cluster Surveys,False,15902
907,False,Robust Bayesian analysis,False,7553
908,False,Microdata (statistics),True,2549
909,False,Skewness,False,19739
910,False,Generalized least squares,False,11827
911,False,Bayes' theorem,False,25712
912,False,Reliability theory,False,3125
913,False,Cross-validation (statistics),False,20566
914,False,Queuing delay,False,4782
915,False,Wide and narrow data,False,1931
916,False,Z-factor,False,7217
917,False,Spectral clustering,False,7009
918,False,Non-response bias,False,2491
919,False,Bayesian tool for methylation analysis,False,9750
920,False,Fokker–Planck equation,False,20541
921,False,Geometric mean,False,19556
922,False,Local convex hull,False,7370
923,False,Statistic,False,5745
924,False,Least squares,False,34206
925,False,Spaghetti plot,False,11048
926,False,Design matrix,False,6572
927,False,Eaton's inequality,False,4829
928,False,Rule of succession,False,23459
929,False,Quasi-likelihood,False,3177
930,False,Markovian arrival process,False,4465
931,False,Exact statistics,False,5249
932,False,Periodogram,False,4305
933,False,Hoover index,False,3868
934,False,Time-use survey,False,1617
935,False,Forecasting,False,20217
936,False,Sample maximum and minimum,False,7962
937,False,Actuarial science,False,32643
938,False,Monte Carlo method,False,46902
939,False,Berlin procedure,False,2371
940,False,One- and two-tailed tests,False,11606
941,False,Variable rules analysis,False,3170
942,False,Multinomial logistic regression,False,30899
943,False,Error bar,True,1463
944,False,GraphPad Prism,False,2932
945,False,Chauvenet's criterion,False,6670
946,False,Nelson rules,False,4999
947,False,Matrix gamma distribution,False,2520
948,False,Epidemiological method,False,7140
949,False,Categorical distribution,False,25190
950,False,Inter-rater reliability,False,15281
951,False,Streamgraph,True,1577
952,False,Frequency domain,False,6762
953,False,Survival rate,True,4867
954,False,Natural process variation,False,2985
955,False,Smoothing,False,5909
956,False,Moment (mathematics),False,15362
957,False,Inverse probability weighting,False,3431
958,False,Fisher's inequality,False,3342
959,False,Wishart distribution,False,19541
960,False,ANOVA–simultaneous component analysis,False,6600
961,False,N of 1 trial,False,4872
962,False,Phase dispersion minimization,False,6080
963,False,F-test of equality of variances,False,5435
964,False,Sparsity-of-effects principle,False,1595
965,False,Hyperprior,False,4401
966,False,Window function,False,60170
967,False,Confounding,False,26088
968,False,Student's t-distribution,False,49508
969,False,Product distribution,False,6531
970,False,Black–Scholes model,False,49893
971,False,Goodness of fit,False,8986
972,False,Borel–Cantelli lemma,False,10702
973,False,Monte Carlo method for photon transport,False,20534
974,False,TPL Tables,False,5528
975,False,Omitted-variable bias,False,6466
976,False,Engineering tolerance,False,12378
977,False,Normal-gamma distribution,False,12391
978,False,Gy's sampling theory,False,4327
979,False,Probability space,False,25133
980,False,Neighbourhood components analysis,False,6365
981,False,Gumbel distribution,False,10463
982,False,100-year flood,False,13427
983,False,Boolean analysis,False,8342
984,False,Cornish–Fisher expansion,False,4603
985,False,D/M/1 queue,False,2325
986,False,Samuelson's inequality,False,3929
987,False,Algorithmic inference,False,17438
988,False,ARGUS distribution,False,4613
989,False,Support vector machine,False,38833
990,False,Relativistic Breit–Wigner distribution,False,4965
991,False,Multidimensional analysis,True,1616
992,False,Jensen's inequality,False,20634
993,False,Generative model,False,3760
994,False,Pensim2,True,725
995,False,Geometric stable distribution,False,9684
996,False,Berkson error model,True,1159
997,False,Stochastic drift,False,5481
998,False,Doob–Meyer decomposition theorem,False,2869
999,False,Steiner system,False,16347
1000,False,Constant elasticity of substitution,False,6921
1001,False,Autoregressive–moving-average model,False,14394
1002,True,Quasi-maximum likelihood,True,2807
1003,False,Linear discriminant analysis,False,23561
1004,False,Relative change and difference,False,15951
1005,False,Exploratory data analysis,False,14285
1006,False,Uncomfortable science,False,2351
1007,False,Thurstone scale,False,4850
1008,False,A posteriori probability,False,257
1009,False,Pairwise independence,False,4114
1010,False,Doob decomposition theorem,False,12059
1011,False,Empirical measure,False,5557
1012,False,Generalized normal distribution,False,15398
1013,False,Inverse-gamma distribution,False,7251
1014,False,Brownian bridge,False,4444
1015,False,Statistical signal processing,True,3818
1016,False,Impulse response,False,9395
1017,False,Sample (statistics),False,6592
1018,False,MINQUE,False,1426
1019,False,Expectation propagation,False,1087
1020,False,Smearing retransformation,True,615
1021,False,Analysis of molecular variance,True,2372
1022,False,Delaporte distribution,False,5866
1023,False,Covariance matrix,False,19969
1024,False,Rank-size distribution,False,7985
1025,False,Instrumental variable,False,32728
1026,False,Evolutionary data mining,False,4138
1027,False,Calibration (statistics),False,5977
1028,False,Wallenius' noncentral hypergeometric distribution,False,15380
1029,False,Binary classification,False,9830
1030,False,Cumulative distribution function,False,13257
1031,False,Observed information,False,3059
1032,False,Interaction (statistics),False,23598
1033,False,Kolmogorov's zero–one law,False,3997
1034,False,Erlang distribution,False,10712
1035,False,Bayesian inference in marketing,False,21851
1036,False,Generalized gamma distribution,False,4804
1037,False,Glossary of experimental design,False,12471
1038,False,Wick product,False,5018
1039,False,Moment problem,False,5293
1040,False,Beta-binomial distribution,False,18220
1041,False,Newcastle–Ottawa scale,True,1312
1042,False,Funnel plot,False,5377
1043,False,Markov chain,False,63209
1044,False,Kendall's W,False,5226
1045,False,Wiener deconvolution,False,6655
1046,False,Tschuprow's T,False,2908
1047,False,Total correlation,False,7730
1048,False,Spherical design,False,3839
1049,False,Least squares support vector machine,False,16432
1050,False,Tukey lambda distribution,False,6710
1051,False,Poisson binomial distribution,False,6787
1052,False,Coherence (signal processing),False,7560
1053,False,Censored regression model,True,2147
